rut_completo,razon_social,n_trabajadores,comuna,region,subrubro,encaje_probable,por_que_encaja,web,linkedin_empresa,decisor_nombre,decisor_cargo,decisor_linkedin,telefono_publico,senal_dolor,confianza,fuente_url
77726476-1,HABITAS ATACAMA SPA,113,LAS CONDES,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
84265600-1,COMERCIAL PIO NONO LTDA,113,SANTIAGO,XIII REGION METROPOLITANA,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES",alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
61101031-1,EJERCITO DE CHILE CENTRAL ODONTOLOGICA D,112,SANTIAGO,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
65114157-5,CORPORACION EDUCACIONAL ORRONO BOUSSAC,112,PUENTE ALTO,XIII REGION METROPOLITANA,OTROS TIPOS DE ENSEÑANZA,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
96971940-1,OPERADORA DE SERVICIOS MEDICOS MAITENES S A,112,MELIPILLA,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76520243-4,CLINICA ODONTOLOGICA SMARTDENT SPA,110,PROVIDENCIA,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76194366-9,HOTELERA VC LIMITADA,109,SANTIAGO,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
77861462-6,SALUD Y ESTETICA NCA SPA,109,LAS CONDES,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
84888500-2,HOTEL PANAMERICANO LTDA,109,SANTIAGO,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
76401546-0,HOTELES SOMMELIER SPA,108,SANTIAGO,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
82920700-1,INSTITUTO DE ESTUDIOS BANCARIOS GUILLERMO SUBERCASEAUX,108,SANTIAGO,XIII REGION METROPOLITANA,ENSEÑANZA SUPERIOR,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
76228304-2,GESTION Y ADMINISTRACION CENIT LIMITADA,107,PROVIDENCIA,XIII REGION METROPOLITANA,ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCION O POR CONTRATA,alto,"Corretaje (la mejor apuesta según la investigación de nichos): responder en menos de 5 minutos multiplica ~100x la probabilidad de contacto, y la de cierre cae ~50% por cada 30 minutos de demora. El corredor está en visitas la mitad del día. Ticket enorme: una comisión paga años de servicio. Apuntar a corredoras de 1-5 personas, no a las grandes con TI.",,,,,,,,baja,
76230978-5,INMOBILIARIA COLIPI SPA,107,LAS CONDES,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
76317843-9,INMOBILIARIA ORELLA- LYNCH SPA,106,LAS CONDES,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
65232280-8,FUND EDUCACIONAL ORIGEN,105,PIRQUE,XIII REGION METROPOLITANA,ACTIVIDADES DE APOYO A LA ENSEÑANZA,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
78212360-2,CORPORACION INSTITUTO PROFESIONAL SAN SEBASTIAN,105,SANTIAGO,XIII REGION METROPOLITANA,ENSEÑANZA SUPERIOR,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
76147318-2,ASSETPLAN ASESORES SPA,104,LAS CONDES,XIII REGION METROPOLITANA,ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCION O POR CONTRATA,alto,"Corretaje (la mejor apuesta según la investigación de nichos): responder en menos de 5 minutos multiplica ~100x la probabilidad de contacto, y la de cierre cae ~50% por cada 30 minutos de demora. El corredor está en visitas la mitad del día. Ticket enorme: una comisión paga años de servicio. Apuntar a corredoras de 1-5 personas, no a las grandes con TI.",,,,,,,,baja,
76969438-2,ADMINISTRADORA HOTELERA Y DE SERVICIOS SPA,104,PROVIDENCIA,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
76352353-5,TURISMO EL ROSARIO LIMITADA,102,VITACURA,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
76251295-5,RESCATE TARAPACA SPA,101,LAS CONDES,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76423438-3,SERVICIOS DE TURISMO FUTANGUE LIMITADA,101,VITACURA,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
78206800-8,INSTITUTO PROFESIONAL ESCUELA MODERNA DE MUSICA SPA,101,VITACURA,XIII REGION METROPOLITANA,ENSEÑANZA SUPERIOR,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
79772200-6,SOC EDUCACIONAL DEL MAULE S A,101,SANTIAGO,XIII REGION METROPOLITANA,ENSEÑANZA SUPERIOR,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
82293400-5,LARRAIN SIERRA Y COMPANIA LIMITADA,101,PROVIDENCIA,XIII REGION METROPOLITANA,VENTA DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
76111815-3,SENIORS GESTION DE ENFERMERIA SEBASTIAN ELCANO SPA,100,LAS CONDES,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76304798-9,CLÍNICA SOMNO SPA,99,VITACURA,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76986542-K,SERVICIOS MEDICOS CRUZ NACIONAL SPA,99,PROVIDENCIA,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76351947-3,SANADENT S.A,98,PROVIDENCIA,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
87705100-5,JOSE TOMAS URMENETA Y CIA LIMITADA PROPI,98,PROVIDENCIA,XIII REGION METROPOLITANA,ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCION O POR CONTRATA,alto,"Corretaje (la mejor apuesta según la investigación de nichos): responder en menos de 5 minutos multiplica ~100x la probabilidad de contacto, y la de cierre cae ~50% por cada 30 minutos de demora. El corredor está en visitas la mitad del día. Ticket enorme: una comisión paga años de servicio. Apuntar a corredoras de 1-5 personas, no a las grandes con TI.",,,,,,,,baja,
77769130-9,ESPECIALIDADES ODONTOLOGICAS MORA PAVIC SPA,96,LAS CONDES,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
78366460-7,CENTRO DE ESPECIALIDADES MEDICAS LTDA,96,VITACURA,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
79528730-2,CIPER REPUESTOS LIMITADA,96,SANTIAGO,XIII REGION METROPOLITANA,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES",alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
93515000-0,GENERAL MOTORS CHILE INDUSTRIA AUTOMOTRIZ LIMITADA,96,HUECHURABA,XIII REGION METROPOLITANA,VENTA DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
76147119-8,ASISTENCIA LAS TRANQUERAS SPA,95,LAS CONDES,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76600635-3,HOTELERA NOVAPARK SPA,95,SANTIAGO,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
77166818-6,ISLA NAVARINO SPA,95,VITACURA,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
77645445-1,HOTEL HW HIGH WILD SPA,95,SANTIAGO,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
77688524-K,ACADEMIA DE EDUCACION DEPORTIVA MINDFIT SPA,93,LO BARNECHEA,XIII REGION METROPOLITANA,OTROS TIPOS DE ENSEÑANZA,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
76110809-3,ARAUCO SALUD LIMITADA,92,LAS CONDES,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76349315-6,PORTAL DE ORTODONCIA DE CHILE S.A,92,SANTIAGO,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76545371-2,AUTOMOTORA INALCAR S.A,92,NUNOA,XIII REGION METROPOLITANA,VENTA DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
80463100-3,PATRICIO HIDALGO SOCIEDAD ANONIMA,92,EST CENTRAL,XIII REGION METROPOLITANA,VENTA DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
76432503-6,YOUTOPIA SALUD SPA,91,LO BARNECHEA,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
65199980-4,CORP MUNICIPAL DE DEPORTES DE NUNOA,90,NUNOA,XIII REGION METROPOLITANA,OTROS TIPOS DE ENSEÑANZA,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
77615015-0,LUCKY TEAM SPA,90,LAS CONDES,XIII REGION METROPOLITANA,ALQUILER Y ARRENDAMIENTO DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
76203979-6,SOCIEDAD DE TRANSPORTES LABOTRANS LIMITADA,89,QUILICURA,XIII REGION METROPOLITANA,ALQUILER Y ARRENDAMIENTO DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
76265560-8,IMPORT EXPORT IPARRAGUIRRE LIMITADA,89,SANTIAGO,XIII REGION METROPOLITANA,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES",alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
76585735-K,CENTRO DE MEDICINA REPRODUCTIVA SHADY GROVE CHILE SPA,89,VITACURA,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76415419-3,BYD CHILE SPA,88,PROVIDENCIA,XIII REGION METROPOLITANA,VENTA DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
76787749-8,THE NINJA COMPANY SPA,88,LAS CONDES,XIII REGION METROPOLITANA,OTROS TIPOS DE ENSEÑANZA,alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
78706540-6,AUTOMOTORA MIGUEL JACOB HELO S.A.,88,SANTIAGO,XIII REGION METROPOLITANA,VENTA DE VEHICULOS AUTOMOTORES,alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
79679590-5,LABORATORIO DIAGNOSTIKA LIMITADA,87,PROVIDENCIA,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
81719700-0,FUNDACION INVICA,85,SANTIAGO,XIII REGION METROPOLITANA,ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCION O POR CONTRATA,alto,"Corretaje (la mejor apuesta según la investigación de nichos): responder en menos de 5 minutos multiplica ~100x la probabilidad de contacto, y la de cierre cae ~50% por cada 30 minutos de demora. El corredor está en visitas la mitad del día. Ticket enorme: una comisión paga años de servicio. Apuntar a corredoras de 1-5 personas, no a las grandes con TI.",,,,,,,,baja,
92606000-7,SERVICIO LUCAS BLANDFORD S.A.,85,CONCHALI,XIII REGION METROPOLITANA,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES",alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
76047879-2,SOCIEDAD ODONTOLOGICA DEL DESARROLLO DE SANTIAGO S.A.,84,LA FLORIDA,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76089550-4,MAIPOSALUD LIMITADA,84,TALAGANTE,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
96882280-2,IMPORTADORA TRANSAGRO S A,84,SANTIAGO,XIII REGION METROPOLITANA,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES",alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
76564005-9,INVERSIONES INBO LIMITADA,83,PROVIDENCIA,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
76703817-8,INVERSIONES MEGATERRENOS SPA,83,HUECHURABA,XIII REGION METROPOLITANA,ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCION O POR CONTRATA,alto,"Corretaje (la mejor apuesta según la investigación de nichos): responder en menos de 5 minutos multiplica ~100x la probabilidad de contacto, y la de cierre cae ~50% por cada 30 minutos de demora. El corredor está en visitas la mitad del día. Ticket enorme: una comisión paga años de servicio. Apuntar a corredoras de 1-5 personas, no a las grandes con TI.",,,,,,,,baja,
77495150-4,CENTRO DE IMAGENES MEDS LIMITADA,83,LAS CONDES,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
96651680-1,COLLIERS PROSIN S A,83,LAS CONDES,XIII REGION METROPOLITANA,ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCION O POR CONTRATA,alto,"Corretaje (la mejor apuesta según la investigación de nichos): responder en menos de 5 minutos multiplica ~100x la probabilidad de contacto, y la de cierre cae ~50% por cada 30 minutos de demora. El corredor está en visitas la mitad del día. Ticket enorme: una comisión paga años de servicio. Apuntar a corredoras de 1-5 personas, no a las grandes con TI.",,,,,,,,baja,
79864770-9,LUBRICANTES INTERNACIONALES LIMITADA,82,COLINA,XIII REGION METROPOLITANA,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES",alto,"Venta de repuestos: cotización por modelo y año, la misma consulta cien veces al día, con lista de precios propia. Es el perfil de la reunión que ya se consiguió (KTM) y funciona como el ICP 1 (distribuidora que cotiza), no como taller.",,,,,,,,baja,
76033896-6,SERPROEN VINA SPA,81,LAS CONDES,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
