rut_completo,razon_social,n_trabajadores,comuna,subrubro,nombre_fantasia,web,tiene_whatsapp_web,canal_contacto,linkedin_empresa,decisor_nombre,decisor_cargo,decisor_linkedin,telefono_publico,google_rating,google_resenas,senal_dolor,confianza,fuente_url,n,prioridad
96768160-1,HOTELERA SANTA MAGDALENA S A,145,PROVIDENCIA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,Four Points by Sheraton Santiago,https://www.marriott.com/en-us/hotels/sclfp-four-points-by-sheraton-santiago/overview/,no,"Telefono del hotel +56 2 2750 0300, fax +56 2 2750 0350 y una linea aparte de eventos (+56 9 8900 7195). Reservas solo por la central Marriott; sin WhatsApp ni chat propio",,,,,+56 2 2750 0300,,,"Hotel de 145 trabajadores sin sitio propio: depende de Marriott.com, publica fax como canal de contacto y no tiene WhatsApp; los eventos se atienden en un celular distinto (+56 9 8900 7195)",baja,https://www.marriott.com/en-us/hotels/sclfp-four-points-by-sheraton-santiago/overview/,145,60
76305620-1,EMBOTELLADORA DE AGUAS JAHUEL S A,145,SANTA MARIA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,Termas de Jahuel Hotel & Spa,https://jahuel.cl,no,"10 telefonos distintos repartidos en 4 areas (reservas, empresas, hotel, oficinas comerciales), correo reservas@jahuel.cl y un formulario que exige codigo de verificacion. Sin WhatsApp",,,,,+56 2 2411 1720,,,"Publica 10 numeros de telefono distintos en una sola pagina de contacto (5 de reservas, 2 de empresas, 2 del hotel, 1 de oficinas) y ningun WhatsApp; el formulario obliga a resolver un captcha",baja,https://jahuel.cl/es/contacto/,145,60
96544240-5,INVERSIONES LYON PLAZA S A,146,PROVIDENCIA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,Park Plaza Hotel Santiago,https://www.parkplaza.cl,no,"Formulario de 5 campos, correo bookings@parkplaza.cl, dos telefonos fijos y dos numeros de fax. Sin WhatsApp ni chat en vivo",,,,,+56 2 2372 4000,,,"Hotel que en 2026 sigue publicando dos numeros de fax (+562 22336668 y +562 22338521) como canal de contacto y ningun WhatsApp: reservas solo por formulario o correo. Vinculo razon social-hotel inferido (Ricardo Lyon 207 + 'Parkplaza Apartment' en Lota 2233, la direccion del SII)",baja,https://www.parkplaza.cl/ubicacion-y-contacto/,146,60
76686235-7,SANASALUD CENTROS MEDICOS S.A.,144,PROVIDENCIA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,Sanasalud,https://sanasalud.cl,no,"Un unico numero 600 006 1000 y reserva de hora en el sitio. Sin WhatsApp, sin chat y sin correo de contacto publicado en el sitio",,,,,600 006 1000,,,"Red de centros medicos, dentales y laboratorio en tres regiones (RM, V y VI) con horarios distintos por unidad, atendida por un unico 600 006 1000 y sin WhatsApp ni correo publicado",baja,https://sanasalud.cl/informacion-corporativa/,144,60
85146000-4,IMPORTADORA B S SOCIEDAD ANONIMA,128,VALPARAISO,OTRAS ACTIVIDADES DE VENTA AL POR MAYOR ESPECIALIZADA,Importadora BS (y El Bodegon de la Ceramica),importadorabs.cl,no,"Formulario de 3 campos, mesa central 600 690 3030 e info@importadorabs.cl, mas un listado publico de vendedores por zona y encargados por tienda, cada uno con su propio correo y celular",https://www.linkedin.com/company/importadora-b-s-sociedad-anonima,,,,600 690 3030,,,"La pagina de contacto publica 23 correos y una decena de celulares distintos (un vendedor por region, un encargado por bodega y otro por tienda) y ningun WhatsApp: dos zonas aparecen incluso sin vendedor asignado",baja,https://www.importadorabs.cl/contacto.php,128,59
80211900-3,COLEGIO CALASANZ,141,NUNOA,"ENSENANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",Colegio Calasanz Nunoa (Escuelas Pias / Escolapios),calasanz.cl,no,"4 areas separadas (Recepcion, Secretaria, Administracion, Admision), cada una con 2 fijos y un celular distinto, mas un correo @escolapios.cl por area. Sin formulario ni WhatsApp",,,,,+56 2 2810 2600,,,el sitio es un Google Sites servido por http:// sin certificado (https falla) y con pie '2023'; publica 8 numeros distintos repartidos en 4 areas y ningun enlace de WhatsApp,baja,http://calasanz.cl/,141,59
76069804-0,HOTEL MANQUEHUE PUERTO MONTT SPA,139,PUERTO MONTT,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,"ex Hotel Manquehue Puerto Montt, hoy Courtyard by Marriott Puerto Montt (Seminario 252)",grupohman.cl,si,"La propiedad ya no tiene sitio propio: hotelmanquehue.cl devuelve 404 de nginx. El dueno (Grupo Hman) atiende por wa.me/56958793510 y contacto@grupohman.cl; las reservas van al portal de Marriott, operado por Metro Hoteles",,Marietta Vanetti,"Jefa de Ventas Hoteleria, Grupo Hman",,,,,"el dominio de la marca, hotelmanquehue.cl, esta caido (404 de nginx) tras el traspaso de la operacion a Metro Hoteles bajo marca Courtyard by Marriott: el huesped que busca 'Hotel Manquehue Puerto Montt' llega a una pagina muerta",alta,https://www.grupohman.cl/equipo,139,59
81371400-0,CORP EDUCACIONAL COLEGIO TERESIANO ENRIQUE DE OSSO,142,LA REINA,"ENSENANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",Colegio Teresiano Enrique de Osso (TEO),colegioteo.cl,no,Formulario con desplegable obligatorio de Motivo (Presupuesto / Consultas / Reclamo / Otro) + contacto@colegioteo.cl + un unico fijo,,,,,+56 2 2277 5731,,,"sitio en PHP con 'Copyright 2016' al pie, un solo fijo para todo el colegio y un formulario que obliga a clasificarse como 'Reclamo'; cero WhatsApp",baja,https://colegioteo.cl/contacto.php,142,59
96914240-6,ATTON LAS CONDES SPA,134,LAS CONDES,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,Novotel Santiago Las Condes (ex Hotel Atton Las Condes),all.accor.com/hotel/B469,no,Telefono unico +56 2 2422 7900 y correo de reservas ReservasNLC@accor.com; toda la reserva pasa por el motor ALL/Accor. Sin WhatsApp ni chat propio del hotel,https://cl.linkedin.com/company/novotel-santiago-las-condes,,,,+56 2 2422 7900,,,"Hotel sin WhatsApp: un solo fijo y un correo de reservas de Accor; la marca local Atton desaparecio y attonhoteles.com solo muestra 'Coming Soon', asi que el huesped que busca 'Atton Las Condes' no encuentra donde escribir",baja,https://all.accor.com/hotel/B469/index.es.shtml,134,59
96671320-8,ASSA ABLOY CHILE SPA,131,PUDAHUEL,OTRAS ACTIVIDADES DE VENTA AL POR MAYOR ESPECIALIZADA,ASSA ABLOY Chile (marcas Yale y Poli),assaabloy.cl,no,Correo contacto.chile@assaabloy.com y servicioalcliente.chile@assaabloy.com mas fijo +56 2 2560 9200 publicados en yalechile.cl; assaabloy.cl no tiene pagina de contacto,https://es.linkedin.com/company/assaabloy,,,,+56 2 2560 9200,,,"El sitio corporativo assaabloy.cl no tiene ninguna pagina de contacto (solo deriva a poli.cl, yalechile.cl y bruken.cl); poli.cl tiene instalada la app 'WhatsApp chat button' de Shopify pero con el campo de numero vacio, o sea el boton nunca aparece",baja,https://www.assaabloy.cl/,131,59
95888000-6,DISTRIBUIDORA DIVALCO S.A.,117,EST CENTRAL,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES",Divalco - Neumaticos y Servicios,divalco.cl,no,"Telefono y correo distinto por sucursal (divalco@, divalco.antof@, divalco_serena@) + formulario; sin WhatsApp",https://cl.linkedin.com/company/distdival,,,,+56 2 2484 0400,,,"3 sucursales (Estacion Central, Antofagasta y Coquimbo) con 2 telefonos y un correo distinto cada una y horarios distintos; el HTML del sitio no tiene ninguna coincidencia de whatsapp",baja,https://www.divalco.cl/contacto/,117,58
82971700-K,IMPORTADORA DE REPUESTOS BRASIL LTDA,122,SANTIAGO,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES",IMBRA,imbra.cl,no,Un unico fijo +56 2 2107000 y un formulario de un solo campo; sin correo publicado. Redes: Instagram @imbraoficial y Facebook,https://cl.linkedin.com/company/importadora-de-repuestos-brasil-ltda,,,,+56 2 2107000,,,"Sitio antiguo con un solo telefono fijo (+56 2 2107000), sin correo ni WhatsApp, y con el catalogo detras de menus JavaScript que no generan URL: el cliente no puede ni enviar el codigo del repuesto que necesita",baja,https://www.imbra.cl/,122,58
76929550-K,REPUESTOS PARA LA MINERIA PARTS SPA,123,PUDAHUEL,VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS,RPM Parts,rpm.parts,no,Fijo +56 2 3340 6520 y correo contacto@rpm.parts en el sitio (Wix); el unico movil publicado (+56 9 5733 7526) esta en LinkedIn y es de gestion de personas,https://cl.linkedin.com/company/rpmparts,,,,+56 2 3340 6520,,,"Proveedor minero sin WhatsApp: un solo fijo y un correo generico para clientes de faena, mientras el unico celular publicado (+56 9 5733 7526) es de reclutamiento; su ficha de LinkedIn ni siquiera declara sitio web",baja,https://rpm.parts/,123,58
96648090-4,VICTORINOX ANDES S A,113,VITACURA,VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS,Victorinox Chile,victorinox.com/cl/es (victorinox.cl no responde),no,Correo generico contacto@victorinox.cl y un fijo; el sitio global no ofrece canal local ni WhatsApp,https://www.linkedin.com/company/victorinox,,,,+56 2 2956 4700,,,"El dominio local victorinox.cl no responde y la atencion chilena queda en un correo generico contacto@victorinox.cl mas el sitio global victorinox.com, cuyo HTML no contiene la palabra whatsapp",baja,https://www.direcmin.com/victorinox-andes-s-a/informacion-de-contacto,113,58
78454860-0,MODULAR MINING SYSTEMS INC Y CIA LTDA,116,LAS CONDES,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES",Modular Mining (Komatsu),modularmining.com,no,Formulario corporativo global (en ingles) + un fijo local; sin canal local en espanol ni WhatsApp,,,,,+56 2 2591 3000,,,"Filial local de Komatsu con 116 trabajadores en Chile cuyo unico canal es el formulario corporativo global de modularmining.com: no hay sitio ni pagina de contacto en espanol, solo el fijo (56) 2 2591 3000",baja,https://www.direcmin.com/modular-mining-systems-inc-y-cia-ltda/informacion-de-contacto,116,58
76073658-9,CENTRO MEDICO PUERTO MONTT SPA,109,PUERTO MONTT,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,Clinica Puerto Montt (Achs Salud),https://clinicapuertomontt.cl,no,"Un solo telefono (+56 65 248 4800) y un portal de 'Servicios en linea' para reservar hora. Sin WhatsApp, sin chat y sin correo publicado",,,,,+56 65 248 4800,,,"Clinica con urgencia y hospitalizacion que publica un unico fijo y ningun WhatsApp, correo ni chat; toda la reserva depende de un portal web propio. Identificacion por direccion Panamericana 400, coincidente con el registro SII",baja,https://clinicapuertomontt.cl/,109,57
96547180-4,COMERCIAL SPORTEX SPA,104,HUECHURABA,VENTA AL POR MAYOR DE ENSERES DOMESTICOS,"Sportex (licencias Everlast, NGX, Zoo York, American Factory)",sportex.cl,no,"Solo un correo de recepcion (recepcion@sportex.cl) y un fijo. No hay formulario, ni chat, ni WhatsApp, ni correo de ventas",https://cl.linkedin.com/company/sportex-chile,,,,+56 2 2443 1551,,,sitio corporativo integramente en ingles con 'Copyrights 2014 All Rights Reserved' al pie; el unico contacto de toda la empresa es recepcion@sportex.cl pese a tener 14 sucursales registradas en el SII,baja,https://www.sportex.cl/contact.html,104,57
76459852-0,KDOCE SPA,111,SANTIAGO,VENTA AL POR MENOR DE EQUIPO DE INFORMACION Y DE COMUNICACIONES EN COMERCIOS ESPECIALIZADOS,KDOCE Soluciones Educativas,https://kdoce.cl,no,"Formulario web de 8 campos (RBD, nombre, apellido, telefono, cargo, email, comentario) + telefono fijo. Sin WhatsApp ni chat. El formulario principal exige el RBD del colegio antes de responder",https://cl.linkedin.com/company/kdoce-soluciones-educativas,,,,+56 2 2599 4993,,,Unico canal digital es un formulario de 8 campos que exige el RBD del establecimiento; con mas de 5.000 proyectos declarados no publica ningun WhatsApp,baja,https://kdoce.cl/contacto-asesoria-educativa-kdoce/,111,57
78844680-2,COMERCIALIZADORA PROVEPER LIMITADA,103,QUINTA NORMAL,OTRAS ACTIVIDADES DE VENTA AL POR MAYOR ESPECIALIZADA,Proveper,proveper.cl,no,Formulario de contacto + ventas@proveper.cl + fijo +56 2 2663 7600 + una pagina con 8 ejecutivos de venta (la mayoria sin telefono ni correo publicado). Sin WhatsApp,https://cl.linkedin.com/company/proveper,,,,+56 2 2663 7600,,,"la web nunca reemplazo el texto de la plantilla: Mision y Vision dicen 'Far far away, behind the word mountains' y 'Nuestro Equipo' lista a Charlotte Olivia y James Marque (WordPress Dev); el formulario ofrece servicios que no vende (Gestion Contable, Asesoria Tributaria) y en Ejecutivos aparece 'Carolina Lopez' duplicada",baja,https://proveper.cl/ejecutivos-de-ventas/,103,57
76655406-7,XTREME SERVICIOS MAQUINARIAS Y EQUIPOS SPA,146,LAMPA,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES",Xtreme Servicios y Maquinaria,https://xtremeservicios.cl,no,"Solo correo contacto@xtremeservicios.com. El telefono que publica es el marcador de la plantilla, '+56 0 0000 0000'. Sin WhatsApp, sin formulario funcional",,,,,,,,El sitio publica como telefono el placeholder de plantilla '+56 0 0000 0000' y un correo en un dominio .com distinto al del sitio; empresa de 146 trabajadores sin ningun canal de contacto real,baja,https://xtremeservicios.cl/,146,50
85891400-0,IMPORTADORA IMOTO S A,113,SANTIAGO,"VENTA, MANTENIMIENTO Y REPARACION DE MOTOCICLETAS Y SUS PARTES, PIEZAS Y ACCESORIOS",Imoto,imoto.cl,no,"Correo contacto@imoto.cl + chat Drift + formulario; cero WhatsApp en home, contacto y sucursales",,,,,,,,"E-commerce de motos con secciones de postventa, garantias, valores de mantenciones y servicios tecnicos autorizados, y ni un solo enlace wa.me/whatsapp en home, contacto ni sucursales: solo contacto@imoto.cl y un chat Drift",baja,https://www.imoto.cl/contacto/,113,48
76090765-0,COMERCIAL TBC S.A.,119,VITACURA,VENTA AL POR MAYOR DE ENSERES DOMESTICOS,,,nd,nd - no se ubico sitio oficial ni canal de contacto publico,,Fabian Alfonso Bishara Adauy,Socio / accionista,,,,,"119 trabajadores y 2 direcciones operativas (Kennedy 6800 Vitacura y Jorge Alessandri 9243 San Bernardo) sin ningun sitio web, telefono ni canal de contacto publico localizable",media,https://www.portalchile.org/empresa/comercial-tbc-sa-76090765,119,48
78844220-3,COMERCIAL BIGPET SPA,118,LA FLORIDA,VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS,BigPet,,nd,nd - el dominio bigpet.cl no resuelve; sin canal digital localizado,,Isabel Olga del Carmen Marin Ugas,Socia / accionista,,,,,"Petshop con 118 trabajadores que ademas vende peluqueria, guarderia y paseo de mascotas (servicios que se agendan) y no tiene dominio activo: bigpet.cl no resuelve DNS",media,https://www.portalchile.org/empresa/comercial-bigpet-limitada-78844220,118,48
77626526-8,ROM RETAIL SPA,127,PROVIDENCIA,VENTA AL POR MENOR DE OTROS ENSERES DOMESTICOS EN COMERCIOS ESPECIALIZADOS,,,nd,"No se identifico sitio web, correo ni telefono publico de la sociedad ni de una marca asociada",,Claudio Emilio Carranza Gajardo,Administrador y constituyente de la sociedad,,,,,"23 locales en malls de Arica a Los Angeles (Mall Plaza Antofagasta, Mall Tobalaba, Apoquindo 2730, Vicuna Mackenna 6100) operados por una SpA sin sitio web ni marca publica identificable: el cliente no tiene donde reclamar",media,https://vlex.cl/vid/rom-retail-spa-908639081,127,48
76831870-0,MAKE UP SPA,126,LAS CONDES,VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS,Makeup (Tiendas Make Up),makeup.cl,no,"Formulario Contact Form 7 (nombre, correo, mensaje) y un correo distinto por cada tienda; no hay telefono unico ni WhatsApp en todo el sitio",,,,,,,,"La pagina de tiendas lista 18 correos distintos, uno por local (mu601-vespucio@, mu602-norte@, mu603-calama@makeupcosmetics.cl...), sin ningun WhatsApp; ademas la sociedad tiene disolucion publicada en el Diario Oficial el 14/05/2026",baja,https://www.makeup.cl/new/tiendas/,126,48
76415589-0,KYOCERA DOCUMENT SOLUTIONS CHILE SPA,118,PROVIDENCIA,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES",Kyocera Document Solutions Chile,kyoceradocumentsolutions.cl,no,"Solo formularios: 'Solicitar propuesta', 'Solicitar demo' y 'Otro soporte', mas un localizador de distribuidores; la pagina Contactenos no publica telefono ni email",https://www.linkedin.com/company/kyocera-document-solutions-chile,,,,,,,"La pagina Contactenos del sitio chileno no publica ni un telefono ni un email: todo el contacto pasa por 3 formularios distintos y un buscador de distribuidores, y el HTML no contiene la palabra whatsapp",baja,https://www.kyoceradocumentsolutions.cl/es/about-us/contact-us.html,118,48
76607660-2,RAPSODIA  CHILE S.A.,107,LAS CONDES,VENTA AL POR MAYOR DE ENSERES DOMESTICOS,Rapsodia,https://www.rapsodia.cl,no,"Solo formulario de 4 campos (nombre, email, telefono, mensaje). No publica telefono ni correo, y el localizador de tiendas exige compartir la geolocalizacion del navegador",,,,,,,,"No publica ningun telefono ni correo: el unico canal es un formulario de 4 campos que promete responder 'lo antes posible', y para saber el telefono de una tienda hay que entregar la ubicacion del navegador",baja,https://www.rapsodia.cl/contact/,107,47
96961460-K,TRICONOS MINEROS SOCIEDAD ANONIMA,103,LO BARNECHEA,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES",Triconos Mineros / TM Drilling Solutions,triconosmineros.cl,no,Solo formulario de 5 campos y un correo ofuscado por Cloudflare. No publica ningun numero de telefono,https://www.linkedin.com/company/triconos-mineros-sociedad-anonima/,,,,,,,"proveedor minero que no publica NINGUN telefono en su web: la unica via de contacto es un formulario de 5 campos y un correo ofuscado, y promete responder 'dentro de las proximas horas'",baja,https://www.triconosmineros.cl/contacto/,103,47
99511100-4,HOTELERA SAN FRANCISCO S A,150,SANTIAGO,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,Hotel Plaza San Francisco,plazasanfrancisco.cl,si,WhatsApp (api.whatsapp.com/send?phone=56956089482) + recepcion +56 2 2360 4437 + reservas +56 2 2360 4444 + hotel@ y reservas@ + formulario,,,,,+56 2 2360 4444 (reservas) / +56 2 2360 4437 (recepcion),,,"Tiene WhatsApp pero parte al huesped en 2 telefonos y 2 correos segun si llama a recepcion o a reservas (2 2360 4437 / 2 2360 4444, hotel@ y reservas@plazasanfrancisco.cl)",baja,https://www.plazasanfrancisco.cl/en/contact-location,150,30
78488470-8,LABORATORIO CLINICO CRUZ DEL SUR LIMITADA,149,SANTIAGO,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,CDS Diagnostico,cdsdiagnostico.cl,si,2 numeros de WhatsApp publicados como texto plano (sin enlace clicable) + 3 fonos de call center + fonos propios por sucursal y por resonancia magnetica,,,,,+56 22 671 8526,,,"Publica 7 telefonos distintos (3 de call center, 2 de la sucursal Mall Arauco Estacion, 1 de resonancia) y 2 WhatsApp escritos como texto sin ningun enlace wa.me para hacer clic",baja,https://cdsdiagnostico.cl/,149,30
76006366-5,IMPORTADORA BIOTECH LIMITADA,148,PROVIDENCIA,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES",Biotech Chile,biotechchile.cl,si,"WhatsApp (api.whatsapp.com/send?phone=56941826229), telefono por sucursal, 3 correos distintos y formulario /contactus. Tambien deriva a linktr.ee para instituciones y a biosertec.cl para servicio tecnico",https://cl.linkedin.com/company/biotech-ltda,,,,+56 2 2720 0700,,,"Tiene WhatsApp pero un solo numero para 3 sucursales y 3 correos separados (ventas@biotechchile.cl, vregion@biotechchile.cl y concepcion@biotechltda.cl, este ultimo en otro dominio); postventa y despacho viven en dominios externos (biosertec.cl, dispatchtrack)",baja,https://www.biotechchile.cl/sucursales,148,30
77084730-3,MARYUN SEGURIDAD INDUSTRIAL SPA,142,PUERTO MONTT,VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS,Maryun,maryun.cl,nd,"Tienda Shopify con chat en vivo y formulario; un solo fijo publicado (+56 2 2899 3651, Santiago) y correo ecommerce@maryun.cl. En guias telefonicas aparece ademas el (65) 225 8644 de Puerto Montt. No se encontro enlace wa.me en el sitio",https://cl.linkedin.com/company/maryun-seguridad-industrial,,,,+56 2 2899 3651,,,"Declara 8 sucursales en Chile y 35 anos vendiendo EPP a faenas en regiones, pero el sitio publica un solo fijo de Santiago y un correo de 'ecommerce'; no hay enlace wa.me pese a que el comprador tipico esta en terreno",baja,https://maryun.cl/,142,29
79757520-8,INVERSIONES INDUSTRIALES LIMITADA,135,CERRO NAVIA,OTRAS ACTIVIDADES DE VENTA AL POR MAYOR ESPECIALIZADA,Ferromat,ferromat.cl,si,"WhatsApp (wa.link/031z8i, +56 9 8449 9433), fijo 2 2993 6660, formulario, y una pagina con 13 vendedores de terreno, cada uno con celular y correo propio",https://www.linkedin.com/company/inversiones-industriales-limitada,,,,+56 2 2993 6660,,,Publica 13 vendedores con 13 celulares y 13 correos distintos en ferromat.cl/vendedores.php: el cliente tiene que adivinar a quien escribir y no hay un canal unico de entrada,baja,https://www.ferromat.cl/vendedores.php,135,29
96846520-1,SERVICLINICA PRESTACIONES AMBULATORIAS S A,131,LA CALERA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,Clinica Los Leones (La Calera),clinicalosleones.cl,si,"WhatsApp +56 9 6302 4554, call center, rescate *7909 y un canal separado de 'RECLAMOS'; las reservas se hacen en seis flujos distintos (consulta, examenes, telemedicina, anular, resultados de laboratorio, resultados de imagenologia)",,,,,+56 33 229 6410,,,"La home obliga a elegir entre seis botones de reserva distintos y manda los reclamos a un canal aparte; el unico WhatsApp (+56 9 6302 4554) tiene que absorber urgencias, horas y resultados de toda la clinica",baja,https://www.doctoralia.cl/clinicas/serviclinica-prestaciones-ambulatorias-s-a,131,29
85541900-9,EDAPI S A,113,NUNOA,VENTA AL POR MENOR DE EQUIPO DE INFORMACION Y DE COMUNICACIONES EN COMERCIOS ESPECIALIZADOS,Edapi Soluciones Tecnologicas,edapi.cl,nd,Fijo +56 2 2375 2600 y correo generico info@edapi.cl; el sitio no fue alcanzable para verificar canales,https://cl.linkedin.com/company/edapi,,,,+56 2 2375 2600,,,Presta servicios TI e infraestructura con mesa de soporte desde 1978 y su unico contacto publico es el fijo +56 2 2375 2600 y el correo generico info@edapi.cl; su sitio no resuelve desde fuera de Chile,baja,https://red-conecta.com/empresa/2705/edapi-sa,113,28
76891050-2,COMERCIAL UYUSTOOLS CHILE SA,117,HUECHURABA,OTRAS ACTIVIDADES DE VENTA AL POR MAYOR ESPECIALIZADA,Uyustools Chile,uyustools.cl (no responde),nd,Solo un fijo publicado en directorios de terceros; el sitio propio no carga,https://cl.linkedin.com/company/uyustoolschile,,,,+56 2 2624 6531,,,Su sitio uyustools.cl no carga (503 / conexion rechazada en agosto 2026) y el unico contacto verificable es un fijo +56 2 2624 6531 listado en directorios mineros de terceros,baja,https://divisionminera.cl/uyustools-chile/,117,28
96532730-4,MICROTEC SPA,124,PUDAHUEL,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES",MICRO Automacion (Grupo Micro),cl.microautomacion.com,si,"WhatsApp +56 9 9159 9249, fijo +56 2 2595 4600, correos micro@micro.cl y jose.torres@micro.cl, y un formulario que exige email, nombre, empresa, cargo, rubro y pais",https://cl.linkedin.com/company/micro-automaci-n-chile,,,,+56 2 2595 4600,,,"El formulario de contacto pide empresa, cargo, rubro y pais antes de responder, el sitio chileno vive en un subdominio del grupo argentino (cl.microautomacion.com) y la casilla de calidad publicada es @micro.com.ar",baja,https://cl.microautomacion.com/es/contacto/,124,28
76188130-2,MANTENCION Y SERVICIOS LIMITADA,126,SAN BERNARDO,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES,Grupo Nazar (brazo de mantencion de Transportes Nazar),transportesnazar.cl,si,"La sociedad no tiene web, correo ni telefono propios; el sitio del grupo (Transportes Nazar, misma direccion Camino Lo Sierra 2302) tiene boton de WhatsApp +56 9 5415 9077 y un canal de denuncias canaldedenuncias@nazar.cl",https://cl.linkedin.com/company/transportes-nazar/,,,,+56 9 5415 9077,,,"Taller de mantencion de flota del Grupo Nazar (60% de Comercial e Inmobiliaria Nazar Ltda) sin web, correo ni telefono propios: toda consulta externa cae en el WhatsApp corporativo de Transportes Nazar, que es de transporte, no de taller",baja,https://www.portalchile.org/empresa/mantencion-y-servicios-limitada-76188130,126,28
76084969-3,FABRICA DE PUERTAS Y VENTANAS RENOVA-TEK LIMITADA,110,SAN JOAQUIN,OTRAS ACTIVIDADES DE VENTA AL POR MAYOR ESPECIALIZADA,Renovatek Ventanas,https://renovatek.cl,si,"Dos WhatsApp en la portada (+56 9 4962 5234 y +56 9 8479 0060) mas un formulario. No publica telefono fijo ni correo, y la pagina /contacto no repite los WhatsApp",https://www.linkedin.com/company/renovatekventanas,,,,+56 9 4962 5234,,,Dos numeros de WhatsApp distintos en la portada y ninguno en la propia pagina de contacto; no publica telefono fijo ni correo de postventa,baja,https://renovatek.cl/contacto/,110,27
96625950-7,TECNIKA S A,103,PUDAHUEL,VENTA AL POR MAYOR DE ENSERES DOMESTICOS,"Tecnika (marcas steritek, tecnikare, steriderm, venotek)",tecnika.cl,si,"Enlace WhatsApp wa.me/+56926486462 en todas las paginas + 3 correos separados (ventas@, servicio@, info@) + fijo +56 2 2940 4400 + canal de denuncias",,,,,+56 2 2940 4400,,,"tiene WhatsApp pero fragmenta la atencion en 3 buzones distintos (ventas@, servicio@, info@) mas un unico fijo, sin indicar cual usar para postventa de equipamiento",baja,https://tecnika.cl/contacto/,103,27
80537300-8,LARRAIN Y VALDES LTDA,106,SANTIAGO,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES,Autos Larrain y Valdes (concesionario Subaru / DFSK),lyv.cl,si,"Widget WhatsApp multi-agente en la home (3 numeros configurados) + 3 telefonos, uno por sucursal + formulario de 6 campos; no publica ningun correo",,,,,+56 2 2331 2700,,,3 sucursales con 3 telefonos y 3 numeros de WhatsApp distintos (+56954062703 / +56989225832 / +56954062726); la pagina /contacto no muestra el boton de WhatsApp ni un solo correo,baja,https://lyv.cl/contacto/,106,27
96885630-8,MAURICIO HOCHSCHILD INGENIERIA Y SERVICIOS SPA,108,QUILICURA,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES","MHIS - Hochschild, a DEUTZ Company",https://mhis.cl,si,"WhatsApp corporativo +56 9 2642 2767, mesa central +56 2 2578 2600 y cuatro correos de venta distintos segun sucursal (ventas@, antoventas@, ventasing@, ventas@mhis.com.pe)",,,,,+56 2 2578 2600,,,"Cuatro casillas de venta distintas por sucursal (Santiago, Antofagasta, Concepcion, Lima) y un unico WhatsApp corporativo para toda la postventa industrial; ninguna sucursal publica numero directo de servicio tecnico",baja,https://mhis.cl/sobre-nosotros/,108,27
76001749-3,GRUPO AMOBLÉ SPA,107,SAN BERNARDO,VENTA AL POR MENOR DE OTROS ENSERES DOMESTICOS EN COMERCIOS ESPECIALIZADOS,Amoble,https://amoble.cl,si,"Un mismo WhatsApp (+56 9 4177 1548) para Ventas y para Servicio al Cliente, mas dos correos (hola@amoble.cl y sac@amoble.cl). No hay telefono fijo ni chat",,,,,+56 9 4177 1548,,,"Ventas y servicio al cliente comparten exactamente el mismo WhatsApp (+56 9 4177 1548) pese a tener correos separados, y no publica ningun telefono fijo; el footer sigue con copyright 2024",baja,https://amoble.cl/,107,27
